Symbol,Name,Last Price,Change,Change %
PONY,Pony AI Inc. ADR (PONY),10.32,3.31,47.22
UPC,Universe Pharmaceuticals Inc. (UPC),5.95,1.75,41.67
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),14.15,3.71,35.54
AARD,Aardvark Therapeutics Inc. (AARD),10.12,2.19,27.62
PRTG,Portage Biotech Inc. (PRTG),10.77,2.32,27.46
LCFY,Locafy Ltd. (LCFY),5.04,1.08,27.27
RGLS,Regulus Therapeutics Inc. (RGLS),3.49,0.73,26.45
WOLF,Wolfspeed Inc. (WOLF),4.13,0.86,26.30
JNVR,Janover Inc. (JNVR),65.17,13.26,25.54
SLSN,Solesence Inc. (SLSN),3.12,0.63,25.30
CGON,CG Oncology Inc. (CGON),27.97,5.60,25.03
ALMU,Aeluma Inc. (ALMU),10.15,1.81,21.70
RGC,Regencell Bioscience Holdings Ltd. (RGC),34.34,5.33,18.37
EDHL,Everbright Digital Holding Ltd. (EDHL),4.24,0.65,18.11
MFH,Mercurity Fintech Holding Inc. (MFH),7.75,1.13,17.07
COEP,Coeptis Therapeutics Holdings Inc. (COEP),8.97,1.27,16.49
AGEN,Agenus Inc. (AGEN),3.14,0.44,16.30
NEON,Neonode Inc. (NEON),12.83,1.78,16.11
SABR,Sabre Corp. (SABR),2.53,0.34,15.53
QSG,QuantaSing Group Ltd. ADR (QSG),5.79,0.75,14.88
DMAC,Diamedica Therapeutics Inc. (DMAC),4.64,0.60,14.85
XNET,Xunlei Ltd. ADR (XNET),4.43,0.55,14.18
URGN,UroGen Pharma Ltd. (URGN),11.26,1.39,14.08
CYCN,Cyclerion Therapeutics Inc. (CYCN),3.70,0.45,13.85
TRVG,trivago N.V. ADR (TRVG),4.12,0.48,13.19
RAIN,Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),3.33,0.38,12.88
OST,Ostin Technology Group Co. Ltd. (OST),3.05,0.34,12.55
AMIX,Autonomix Medical Inc. (AMIX),2.34,0.26,12.50
KALA,KALA BIO Inc. (KALA),3.57,0.39,12.26
ADMA,ADMA Biologics Inc. (ADMA),24.51,2.65,12.12
PROP,Prairie Operating Co. (PROP),4.10,0.44,12.02
CVRX,CVRx Inc. (CVRX),7.52,0.79,11.74
TVRD,Tvardi Therapeutics Inc. (TVRD),21.02,2.17,11.51
RZLV,Rezolve AI PLC (RZLV),2.33,0.24,11.48
CHA,Chagee Holdings Ltd. ADR (CHA),34.50,3.39,10.90
TATT,Tat Technologies Ltd. (TATT),28.08,2.68,10.55
MSGM,Motorsport Games Inc. (MSGM),2.65,0.25,10.42
NTRB,Nutriband Inc. (NTRB),5.84,0.52,9.77
ALBT,Avalon GloboCare Corp. (ALBT),4.05,0.34,9.16
CLDX,Celldex Therapeutics Inc. (CLDX),21.36,1.79,9.15
LPTH,Lightpath Technologies Inc. Cl A (LPTH),2.39,0.20,9.13
CDTG,CDT Environmental Technology Investment Holdings Ltd. (CDTG),2.57,0.21,8.83
NVEE,NV5 Global Inc. (NVEE),17.43,1.37,8.53
TMC,TMC the metals company Inc. (TMC),3.31,0.26,8.52
WKSP,Worksport Ltd. (WKSP),3.08,0.24,8.45
SEPN,Septerna Inc. (SEPN),7.00,0.54,8.36
SAIH,SAIHEAT Ltd. (SAIH),7.47,0.57,8.26
AVR,Anteris Technologies Global Corp. (AVR),5.39,0.41,8.23
NDRA,ENDRA Life Sciences Inc. (NDRA),4.30,0.32,8.04
KPTI,Karyopharm Therapeutics Inc. (KPTI),6.07,0.45,8.01
PNBK,Patriot National Bancorp Inc. (PNBK),3.92,0.29,7.99
EPWK,EPWK Holdings Ltd. Cl A (EPWK),13.71,1.00,7.87
AIRJ,AirJoule Technologies Corp. (AIRJ),4.99,0.36,7.78
ATPC,AgapeATP Corp. (ATPC),2.38,0.17,7.69
KRMD,KORU Medical Systems Inc. (KRMD),2.66,0.19,7.69
WFF,WF Holding Ltd. (WFF),3.82,0.27,7.61
FORD,Forward Industries Inc. (FORD),6.09,0.43,7.60
FTCI,FTC Solar Inc. (FTCI),3.42,0.24,7.55
OTLY,Oatly Group AB ADR (OTLY),10.00,0.70,7.53
DBVT,DBV Technologies S.A. ADR (DBVT),9.17,0.64,7.50
CVAC,CureVac N.V. (CVAC),3.47,0.24,7.43
HCWB,HCW Biologics Inc. (HCWB),7.40,0.50,7.25
MB,MasterBeef Group (MB),3.27,0.22,7.21
RAPP,Rapport Therapeutics Inc. (RAPP),11.38,0.76,7.16
XGN,Exagen Inc. (XGN),6.65,0.44,7.09
USAU,U.S. Gold Corp. (USAU),10.32,0.68,7.05
SND,Smart Sand Inc. (SND),2.21,0.14,7.02
VEON,VEON Ltd. ADR (VEON),45.60,2.97,6.97
RVMD,Revolution Medicines Inc. (RVMD),41.47,2.70,6.96
EVLV,Evolv Technologies Holdings Inc. (EVLV),4.16,0.27,6.94
MTSR,Metsera Inc. (MTSR),19.81,1.28,6.91
TIGR,UP Fintech Holding Ltd. ADR (TIGR),8.25,0.52,6.73
USAR,USA Rare Earth Inc. (USAR),12.95,0.81,6.67
ETNB,89bio Inc. (ETNB),7.40,0.46,6.63
OPRA,Opera Ltd. ADR (OPRA),16.53,1.00,6.44
XMTR,Xometry Inc. Cl A (XMTR),26.78,1.62,6.44
EYPT,EyePoint Pharmaceuticals Inc. (EYPT),6.78,0.41,6.44
DUOT,Duos Technologies Group Inc. (DUOT),7.12,0.43,6.43
HPH,Highest Performances Holdings Inc. ADR (HPH),8.18,0.49,6.37
SOHU,Sohu.com Ltd. ADR (SOHU),10.53,0.63,6.36
PDEX,Pro-Dex Inc. (PDEX),69.00,4.11,6.33
KALU,Kaiser Aluminum Corp. (KALU),64.38,3.72,6.13
SXTC,China SXT Pharmaceuticals Inc. (SXTC),2.43,0.14,6.11
TZUP,Thumzup Media Corp. (TZUP),5.09,0.29,6.04
SCLX,Scilex Holding Co. (SCLX),4.95,0.28,6.00
ATHR,Aether Holdings Inc. (ATHR),6.20,0.35,5.98
CRVO,CervoMed Inc. (CRVO),9.15,0.51,5.90
COGT,Cogent Biosciences Inc. (COGT),4.91,0.27,5.82
OPBK,OP Bancorp (OPBK),12.83,0.70,5.77
FCEL,FuelCell Energy Inc. (FCEL),4.04,0.22,5.76
CBLL,CeriBell Inc. (CBLL),16.19,0.88,5.75
GAIA,Gaia Inc. Cl A (GAIA),4.98,0.27,5.73
CLMT,Calumet Inc. (CLMT),11.08,0.59,5.68
EWTX,Edgewise Therapeutics Inc. (EWTX),15.68,0.84,5.66
SATL,Satellogic Inc. (SATL),3.92,0.21,5.66
TVTX,Travere Therapeutics Inc. (TVTX),19.36,1.03,5.62
SRDX,Surmodics Inc. (SRDX),31.10,1.64,5.57
SNBR,Sleep Number Corp. (SNBR),7.40,0.39,5.56
IMTX,Immatics N.V. (IMTX),4.77,0.25,5.53
AUR,Aurora Innovation Inc. (AUR),7.26,0.38,5.52
